admin0,AAD,PMD_10,PMD_25,PMD_50,PMD_100,scenario,year
CYP,24.046,135.923,147.191,151.148,154.32,pessimistic,2050
CYP,22.333,118.623,147.094,152.188,154.32,optimistic,2100
CYP,26.175,153.729,154.32,154.32,154.32,pessimistic,2100
CZE,17.321,0,14.63,487.539,698.496,current,2020
CZE,19.967,0.924,140.569,387.508,650.212,optimistic,2050
CZE,21.93,8.099,173.585,401.253,615.211,pessimistic,2050
CZE,30.766,9.984,272.263,547.144,793.409,optimistic,2100
CZE,89.55,246.429,772.446,1054.649,1291.579,pessimistic,2100
DEU,59.279,0,44.91,1667.585,2413.085,current,2020
DEU,45.633,15.609,292.243,879.428,1479.331,optimistic,2050
DEU,46.333,0.8,242.21,911.456,1833.535,pessimistic,2050
DEU,70.104,37.279,569.02,1235.608,1890.301,optimistic,2100
DEU,236.741,649.99,1845.72,2908.957,3973.409,pessimistic,2100
DJI,619.636,985.83,1896.417,12992.571,18534.467,current,2020
DJI,3234.906,8607.5,28800.522,38350.248,45512.979,optimistic,2050
DJI,5696.903,26580.392,40590.243,46175.612,49174.191,pessimistic,2050
DJI,5441.27,24198.044,39517.157,47008.952,50059.996,optimistic,2100
DJI,7196.926,37584.83,48039.67,50536.933,50611.725,pessimistic,2100
DMA,0,0,0,0,0,current,2020
DMA,0,0,0,0,0,optimistic,2050
DMA,0,0,0,0,0,pessimistic,2050
DMA,0,0,0,0,0,optimistic,2100
DMA,0,0,0,0,0,pessimistic,2100
DNK,13.961,0,15.862,389.992,552.657,current,2020
DNK,16.302,0.013,94.497,361.554,528.937,optimistic,2050
DNK,6.827,0,11.731,145.087,345.591,pessimistic,2050
DNK,8.684,0,36.489,179.748,362.924,optimistic,2100
DNK,13.819,0.149,57.049,319.123,513.943,pessimistic,2100
DOM,125.979,217.922,397.302,2571.926,3685.611,current,2020
DOM,326.113,886.59,2580.073,4106.907,5211.295,optimistic,2050
DOM,286.193,594.578,2406.432,3895.554,5256.696,pessimistic,2050
DOM,310.274,662.405,2657.398,4244.508,5284.765,optimistic,2100
DOM,1047.892,4913.799,7543.031,8358.552,8761.983,pessimistic,2100
DZA,5698.416,0.481,9047.438,154943.023,223760.967,current,2020
DZA,50828.103,235939.155,354824.561,419495.736,465129.067,optimistic,2050
DZA,58817.343,278572.618,407442.981,473303.564,519629.065,pessimistic,2050
DZA,50750.192,228218.365,361967.861,433205.755,478552.595,optimistic,2100
DZA,95901.41,535782.181,595906.413,613561.846,621569.866,pessimistic,2100
ECU,579.924,599.464,1543.857,13351.307,19119.756,current,2020
ECU,1369.43,1873.695,11893.437,20984.771,28662.76,optimistic,2050
ECU,671.433,1213.506,4568.119,9949.556,16836.607,pessimistic,2050
