admin0,GID_1,AAD,PMD_10,PMD_25,PMD_50,PMD_100,scenario,year
AGO,AGO.9_1,4450.797,12641.565,24325.463,49771.758,121818.687,pessimistic,2050
AGO,AGO.10_1,20871.156,43947.927,175222.153,288403.718,369940.306,pessimistic,2050
AGO,AGO.11_1,10035.974,16039.693,78268.636,148057.14,234011.651,pessimistic,2050
AGO,AGO.12_1,2631.235,6569.624,20572.907,33639.698,47856.239,pessimistic,2050
AGO,AGO.13_1,3612.902,9238.542,31377.354,44062.693,55269.999,pessimistic,2050
AGO,AGO.14_1,2313.286,6056.152,14893.604,25586.877,60018.873,pessimistic,2050
AGO,AGO.15_1,1751.87,5200.686,11501.896,21677.111,33818.325,pessimistic,2050
AGO,AGO.16_1,1425.867,3537.319,7056.296,23395.433,32197.491,pessimistic,2050
AGO,AGO.17_1,6918.18,13356.341,61398.469,94093.29,124474.113,pessimistic,2050
AGO,AGO.18_1,2887.968,5774.735,23825.691,40474.029,54798.579,pessimistic,2050
AGO,AGO.1_1,4088.055,13788.924,27133.438,48199.539,65983.453,optimistic,2100
AGO,AGO.2_1,2875.73,10267.525,18079.661,24027.436,64524.241,optimistic,2100
AGO,AGO.3_1,4865.295,10451.016,42910.703,64191.509,81993.515,optimistic,2100
AGO,AGO.4_1,5314.084,13516.79,37582.624,72163.116,101583.812,optimistic,2100
AGO,AGO.5_1,2337.284,9184.113,17542.621,22475.698,26765.404,optimistic,2100
AGO,AGO.6_1,1128.191,3258.395,8175.331,12885.377,21763.054,optimistic,2100
AGO,AGO.7_1,6183.779,20603.278,34436.721,70408.161,133781.933,optimistic,2100
AGO,AGO.8_1,5015.871,12226.703,35699.478,72289.094,91943.993,optimistic,2100
AGO,AGO.9_1,6383.653,18292.569,34464.533,87267.09,143047.27,optimistic,2100
AGO,AGO.10_1,19317.115,43106.782,156588.703,262588.121,349112.655,optimistic,2100
AGO,AGO.11_1,6956.231,16462.348,39600.935,98280.304,176035.314,optimistic,2100
AGO,AGO.12_1,3365.358,8312.541,26546.423,43617.12,59990.452,optimistic,2100
AGO,AGO.13_1,2306.728,4543.199,20812.376,31139.612,39712.131,optimistic,2100
AGO,AGO.14_1,7405.948,13104.965,68249.174,102130.214,132288.057,optimistic,2100
AGO,AGO.15_1,3105.991,8245.544,25840.306,37829.141,49124.11,optimistic,2100
AGO,AGO.16_1,866.62,2836.01,4669.9,8008.057,23606.179,optimistic,2100
AGO,AGO.17_1,6427.944,14242.409,56627.209,83248.583,107364.301,optimistic,2100
AGO,AGO.18_1,1947.946,5042.076,13914.368,26317.863,36080.613,optimistic,2100
AGO,AGO.1_1,4410.733,12118.74,27239.38,42090.156,126748.095,pessimistic,2100
AGO,AGO.2_1,4809.78,13154.586,29047.974,60316.305,112607.669,pessimistic,2100
AGO,AGO.3_1,8116.634,17667.529,73030.339,104791.645,133283.491,pessimistic,2100
AGO,AGO.4_1,11282.972,34824.588,93163.699,127267.033,152862.448,pessimistic,2100
AGO,AGO.5_1,4134.353,19777.362,28232.435,33337.805,36056.296,pessimistic,2100
AGO,AGO.6_1,1561.269,4750.896,9710.562,20511.637,28752.372,pessimistic,2100
AGO,AGO.7_1,5573.222,15907.867,34742.605,71720.72,115831.678,pessimistic,2100
AGO,AGO.8_1,18836.433,90354.736,127610.954,150336.604,168978.924,pessimistic,2100
AGO,AGO.9_1,12744.686,25005.648,106042.668,180295.398,239650.687,pessimistic,2100
AGO,AGO.10_1,54420.866,220412.472,403869.394,509848.123,602788.098,pessimistic,2100
AGO,AGO.11_1,9269.867,17269.377,66882.932,135373.441,216014.31,pessimistic,2100
AGO,AGO.12_1,8115.986,31674.119,61704.476,78023.607,91992.321,pessimistic,2100
AGO,AGO.13_1,5528.043,21787.388,41202.098,53274.796,63572.454,pessimistic,2100
AGO,AGO.14_1,10882.861,28655.42,95501.965,130202.268,159319.495,pessimistic,2100
AGO,AGO.15_1,7030.554,29173.695,51855.938,64464.187,74966.331,pessimistic,2100
AGO,AGO.16_1,2013.675,5347.489,14946.827,26937.756,34229.813,pessimistic,2100
AGO,AGO.17_1,16423.792,68220.295,123029.583,153012.632,162032.644,pessimistic,2100
AGO,AGO.18_1,5213.067,17553.773,40447.729,54357.887,75262.26,pessimistic,2100
ALB,ALB.1_1,0.712,0.522,1.75,17.158,24.679,current,2020
ALB,ALB.2_1,0.36,0.267,0.899,8.618,12.448,current,2020
ALB,ALB.3_1,0.097,0.068,0.24,2.333,3.384,current,2020
ALB,ALB.4_1,0.356,0.265,0.874,8.585,12.31,current,2020
ALB,ALB.5_1,0.458,0.347,1.136,10.999,15.798,current,2020
ALB,ALB.6_1,0.052,0.037,0.122,1.261,1.8,current,2020
ALB,ALB.7_1,0.233,0.165,0.586,5.596,8.156,current,2020
ALB,ALB.8_1,0.43,0.315,1.088,10.265,14.936,current,2020
ALB,ALB.10_1,0.995,0.757,2.52,23.746,34.325,current,2020
ALB,ALB.11_1,0.294,0.213,0.738,7.05,10.236,current,2020
ALB,ALB.12_1,0.517,0.36,1.262,12.503,18.067,current,2020
ALB,ALB.9_1,0,0,0,0,0,current,2020
ALB,ALB.1_1,0.64,0.877,1.809,13.556,20.834,optimistic,2050
ALB,ALB.2_1,0.697,0.562,6.218,11.816,15.599,optimistic,2050
ALB,ALB.3_1,0.004,0,0.006,0.108,0.198,optimistic,2050
ALB,ALB.4_1,0.335,0.302,1.184,7.536,10.662,optimistic,2050
ALB,ALB.5_1,0.138,0.106,0.713,2.955,4.005,optimistic,2050
ALB,ALB.6_1,0.048,0.061,0.124,1.104,1.469,optimistic,2050
ALB,ALB.7_1,1.317,5.25,9.902,12.445,14.647,optimistic,2050
ALB,ALB.8_1,0.508,0.512,1.268,12.022,16.521,optimistic,2050
ALB,ALB.10_1,0.137,0.083,0.792,1.698,6.356,optimistic,2050
ALB,ALB.11_1,0.073,0.034,0.353,1.635,2.325,optimistic,2050
ALB,ALB.12_1,0.224,0.168,0.934,1.833,13.283,optimistic,2050
ALB,ALB.9_1,0,0,0,0,0,optimistic,2050
ALB,ALB.1_1,1.674,1.669,18.009,24.355,29.933,pessimistic,2050
ALB,ALB.2_1,1.161,1.421,11.97,16.612,20.764,pessimistic,2050
ALB,ALB.3_1,0.012,0,0.118,0.218,0.307,pessimistic,2050
ALB,ALB.4_1,0.701,0.602,7.084,10.835,14.052,pessimistic,2050
ALB,ALB.5_1,0.663,0.594,3.978,13.287,17.863,pessimistic,2050
ALB,ALB.6_1,0.117,0.117,1.281,1.695,2.058,pessimistic,2050
ALB,ALB.7_1,1.497,6.237,11.043,13.62,15.872,pessimistic,2050
ALB,ALB.8_1,1.43,1.256,14.868,21.906,27.199,pessimistic,2050
ALB,ALB.10_1,1.139,1.389,3.071,26.305,35.106,pessimistic,2050
ALB,ALB.11_1,0.16,0.085,0.609,1.986,8.716,pessimistic,2050
ALB,ALB.12_1,0.474,0.534,1.661,9.911,15.605,pessimistic,2050
ALB,ALB.9_1,0,0,0,0,0,pessimistic,2050
ALB,ALB.1_1,1.059,1.087,6.874,20.412,26.742,optimistic,2100
ALB,ALB.2_1,0.969,0.747,10.153,14.888,19.085,optimistic,2100
ALB,ALB.3_1,0.033,0,0.111,0.238,2.343,optimistic,2100
ALB,ALB.4_1,0.475,0.423,1.653,10.897,14.811,optimistic,2100
ALB,ALB.5_1,0.489,0.26,2.608,10.365,15.124,optimistic,2100
ALB,ALB.6_1,0.099,0.079,1.019,1.533,1.987,optimistic,2100
ALB,ALB.7_1,1.42,5.996,10.427,12.782,14.819,optimistic,2100
ALB,ALB.8_1,1.158,0.939,11.617,18.28,23.372,optimistic,2100
ALB,ALB.10_1,1.152,0.534,5.746,25.007,36.859,optimistic,2100
ALB,ALB.11_1,0.203,0.048,1.357,2.294,9.857,optimistic,2100
ALB,ALB.12_1,0.372,0.199,1.017,8.279,14.554,optimistic,2100
ALB,ALB.9_1,0,0,0,0,0,optimistic,2100
ALB,ALB.1_1,5.306,24.83,36.347,43.537,49.842,pessimistic,2100
ALB,ALB.2_1,3.385,15.886,23.15,27.699,31.619,pessimistic,2100
