,iso,time_horizon,scenario,PMD_1.0_med,PMD_10.0_med,PMD_25.0_med,PMD_50.0_med,PMD_100.0_med,PMD_250.0_med,PMD_1000.0_med,aed_med
226,BOL,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,BOL,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,BOL,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,BOL,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,BOL,2050,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,BOL,2100,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,BOL,2100,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,BOL,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,BRA,2020,medium,21160.20209697,23982.228003770004,32808.82402713,37774.455610130004,39816.01664227,42261.78738097,44890.41066827,26238.36469546
235,BRA,2020,optimistic,21160.20209697,24196.59316467,32943.35866783,37819.13114113,39919.14595957,42940.37586097,44925.66199827,26269.85701206
236,BRA,2020,pessimistic,21160.20209697,23982.228003770004,32808.82402713,37774.455610130004,39816.01664227,42261.78738097,44890.41066827,26238.36469546
237,BRA,2050,medium,26771.819818960004,45371.0242209,47710.86049819,49173.988656857,50715.226195856994,52717.163210577,58002.22887086,34976.85957613
238,BRA,2050,optimistic,26117.718093170006,44153.39185776,46654.01328069,47865.342811416,49808.522106857,52013.658120577,57087.977918917,34119.752497265
239,BRA,2050,pessimistic,28508.442068260003,46814.43839819,49130.338569857,50688.53491414699,52295.748014217,56995.504351617,60418.729847660004,36980.22836979601
240,BRA,2100,medium,84865.43497661999,103009.936360725,107684.563285625,109846.722291611,112983.234567611,115965.53638354602,118791.52702621599,103383.23160061799
241,BRA,2100,optimistic,59468.873530016994,70431.17557581,83040.18421784499,93181.696782845,95653.760259545,97716.39786451001,103104.44080412501,73147.74002762597
242,BRA,2100,pessimistic,121028.561157321,139465.90273015303,144620.14973057804,147441.03909483203,150093.792637832,156930.08222261202,163530.07873290204,146000.96657173202
243,BRN,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,BRN,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,BRN,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,BRN,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,BRN,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,BRN,2050,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,BRN,2100,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,BRN,2100,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,BRN,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,BWA,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,BWA,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
