admin0,GID_1,AAD,PMD_2,PMD_5,PMD_10,PMD_25,PMD:50,PMD_100,PMD_250,PMD_500,PMD_1000,scenario,year
MNG,MNG.9_1,0.04,0,0,0,0.16,1.12,1.69,1.76,1.93,1.97,current,2020
MOZ,MOZ.1_1,4365.599359,3169.52753,7160.022232,11274.94333,13747.55259,15378.41001,15869.58644,16352.2407,16695.02838,18447.46925,current,2020
MOZ,MOZ.10_1,12741.48099,5389.830617,16123.94657,35464.36237,65583.7817,71310.97458,77446.67078,84857.07053,89729.4902,93206.25265,current,2020
MOZ,MOZ.11_1,35189.00146,12494.04336,55698.60433,110286.7635,141125.8902,161620.8255,203536.2578,320435.9658,338019.0058,352345.0801,current,2020
MOZ,MOZ.2_1,18144.49233,9554.776099,33378.53939,46782.75547,56582.5943,63346.98867,68222.98669,75015.84246,78797.01486,84371.71229,current,2020
MOZ,MOZ.3_1,3478.601284,2033.489976,5762.092864,8384.382007,12493.45462,14273.48508,15447.2404,16062.3705,16172.73855,16464.29386,current,2020
MOZ,MOZ.4_1,5619.613319,3433.294236,9804.700268,15161.63202,19810.88794,22081.88377,23510.17837,24248.96743,24675.98898,24982.25534,current,2020
MOZ,MOZ.5_1,61.23879403,0,13.2313885,13.2313885,66.96473113,135.746896,251.1820806,6571.114703,11608.04689,12078.13575,current,2020
MOZ,MOZ.6_1,4558.012122,2107.451253,5876.946334,14911.52087,21954.67502,30076.0624,36544.92738,42206.45472,52091.90389,59910.34707,current,2020
MOZ,MOZ.7_1,5734.254329,3938.017932,8055.85418,15356.54804,21541.32005,23859.44415,25031.33083,26074.70274,27222.34069,27906.89088,current,2020
MOZ,MOZ.8_1,8105.195672,6071.850632,9898.228616,13302.82715,19587.99937,24923.48977,26424.60977,29461.11359,30146.65554,30736.23575,current,2020
MWI,MOZ.8_1,476.5726201,0,1275.752899,1275.752899,3675.8153,3718.764247,4122.495811,4368.201768,4368.267074,4521.958097,current,2020
MOZ,MOZ.9_1,35199.09693,25897.10915,60985.17566,74911.37006,89027.22965,98693.76847,108310.8685,123042.2331,136819.6472,140388.6173,current,2020
MRT,MRT.1_1,0,0,0,0,0,0,0,0,0,0,current,2020
MRT,MRT.10_1,0,0,0,0,0,0,0,0,0,0,current,2020
MRT,MRT.11_1,0,0,0,0,0,0,0,0,0,0,current,2020
MRT,MRT.12_1,0,0,0,0,0,0,0,0,0,0,current,2020
MRT,MRT.13_1,4068.98905,892.5380386,2569.238838,4256.810901,5211.991129,6093.985788,6734.412328,7146.569702,7545.238412,7819.714297,current,2020
MRT,MRT.2_1,18.46217924,0,44.98366466,45.26289894,80.98238027,159.6514777,189.9852558,231.9490363,233.8912009,298.3760196,current,2020
MRT,MRT.3_1,3589.337596,1136.415057,7172.011851,11005.23429,13072.5221,14259.13624,14701.76807,15779.80259,16450.85143,16773.17024,current,2020
MRT,MRT.4_1,0,0,0,0,0,0,0,0,0,0,current,2020
MRT,MRT.5_1,3668.205796,978.0245526,8383.941606,12008.20025,14856.95828,17588.04754,21279.02895,24280.5243,27511.45812,28982.6559,current,2020
MRT,MRT.6_1,3144.706121,321.6796745,6509.22997,12049.81025,15125.98362,19236.73209,23030.13762,26040.68934,27913.94515,28705.60102,current,2020
MRT,MRT.7_1,2678.221556,0,154.2436216,14882.02867,28152.12906,28953.67578,29259.30183,31426.75434,31427.00986,35219.6599,current,2020
MRT,MRT.8_1,0.375252083,0,1.140370151,1.140370151,1.296636299,2.358338279,3.750619235,7.486470308,9.812382011,12.39513809,current,2020
MRT,MRT.9_1,0,0,0,0,0,0,0,0,0,0,current,2020
MWI,MWI.1_1,1969.401164,503.1195271,3847.823924,5344.84562,7688.825415,8515.803063,8949.650607,9349.746305,9937.417741,10451.39139,current,2020
MWI,MWI.11_1,1197.470214,85.97648014,2538.785323,4037.941054,6791.135633,7699.330657,7969.603103,8261.785576,8634.088172,8874.101007,current,2020
MWI,MWI.12_1,2253.163697,0,6357.697963,8272.741122,9716.072118,11323.45485,11741.83147,12011.15653,12099.16858,12315.48532,current,2020
MWI,MWI.13_1,5184.141417,3417.481027,8660.500847,12559.8276,16078.85811,20789.36105,24111.83152,28304.28398,29315.88834,30842.34315,current,2020
MWI,MWI.14_1,418.132672,87.17486377,916.340647,1487.088182,2063.5807,2214.558918,2344.464476,2455.496967,2521.481898,2591.673382,current,2020
MWI,MWI.15_1,189.8244493,0,359.1954109,617.8766665,981.2967266,1834.773141,2230.31684,2507.66147,2661.412079,2802.635305,current,2020
MWI,MWI.16_1,8.636514812,0,33.78227102,33.78227102,42.93979764,53.0318469,56.0897949,56.87710828,66.34649434,66.38042035,current,2020
