admin1_code,scenario,year,PMD_1,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250,PMD_1000,AAD,admin0
AGO.2_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.2_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.3_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.3_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.3_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.3_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.3_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.3_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.3_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.4_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.4_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.4_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.4_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.4_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.4_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.4_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.5_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.5_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.5_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.5_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.5_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.5_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.5_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.6_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.6_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.6_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.6_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.6_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.6_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.6_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.7_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.7_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.7_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.7_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.7_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.7_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.7_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.8_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.8_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.8_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.8_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.8_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.8_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.8_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.9_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.9_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.9_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.9_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.9_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.9_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.9_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.10_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.10_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.10_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.10_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.10_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.10_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.10_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.11_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.11_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.11_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.11_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.11_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.11_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.11_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.12_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.12_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.12_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.12_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.12_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.12_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.12_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.13_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.13_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.13_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.13_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.13_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.13_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.13_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.14_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.14_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.14_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.14_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.14_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.14_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.14_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.15_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.15_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.15_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.15_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.15_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.15_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.15_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.16_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.16_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.16_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.16_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.16_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.16_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.16_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.17_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.17_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
