Period,Scenario,AAD,RP_10,RP_25,RP_50,RP_100,RP_250,iso3
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,RWA
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,RWA
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,RWA
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,RWA
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,ESP
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ESP
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ESP
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,ESP
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,ESP
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ESP
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ESP
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,ASM
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ASM
2100,ssp245,0.454950620179125,0.0,0.0,0.0,0.0,0.0,ASM
2050,ssp370,0.2645813806412951,0.0,0.0,0.0,0.0,0.0,ASM
2100,ssp370,21.45805443059217,0.0,0.0,0.0,0.0,0.0,ASM
2050,ssp585,1.3854779097718053,0.0,0.0,0.0,0.0,0.0,ASM
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ASM
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,PRT
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,PRT
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,PRT
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,PRT
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,PRT
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,PRT
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,PRT
hist,ERA-5,463.43665547719456,0.0,0.0,2582.5476065551725,7362.5331868389885,16106.362219575609,MEX
2050,ssp245,1857.9245877759463,0.0,3065.620264463133,9641.281310440454,33681.96619823289,98625.17104793173,MEX
2100,ssp245,1449.3290541208285,0.0,1516.021235440434,7226.801585988944,27081.6557002286,63876.38962694333,MEX
2050,ssp370,1710.457454539136,5.01452320039468,4049.477949198531,20787.91527131735,41464.95508832261,99928.47828117912,MEX
2100,ssp370,2100.329883320636,0.0,3506.9751167911177,13214.86705940148,26164.881626792227,132032.1119336848,MEX
2050,ssp585,1367.4125831637662,2.117357043099102,6072.9514872732,16948.0021563791,24598.50396776885,56986.52959563267,MEX
2100,ssp585,2595.856088246881,0.0,1742.6522142277945,9944.58709413081,36780.570710570566,82585.05436314271,MEX
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,CUW
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,CUW
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,CUW
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,CUW
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,CUW
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,CUW
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,CUW
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,ISR
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ISR
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ISR
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,ISR
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,ISR
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ISR
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ISR
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,QAT
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,QAT
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,QAT
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,QAT
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,QAT
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,QAT
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,QAT
hist,ERA-5,894.9722205522653,0.0,0.0,0.0,5.023397767983119,64116.28005635566,CUB
2050,ssp245,1008.339305640263,0.0,0.0,0.0,5.023397767983119,64798.36922590149,CUB
2100,ssp245,1204.5449539894266,0.0,0.0,0.0,5.966793356033013,101418.02195540923,CUB
2050,ssp370,1037.359379064298,0.0,0.0,0.0,2788.586408312119,83881.24858342556,CUB
2100,ssp370,1273.4806233367815,0.0,0.0,0.0,5.023397767983119,89171.25314616557,CUB
2050,ssp585,1088.156464566926,0.0,0.0,46.191863745763655,4791.77407593823,142546.02460689365,CUB
2100,ssp585,895.3132775447579,0.0,0.0,0.0,5.023397767983119,64116.28005635566,CUB
hist,ERA-5,500.3729674051152,0.0,0.0,0.0,0.0,87.65852608458121,MYS
2050,ssp245,4905.518849883805,0.0,714.8675051800976,35210.17179126375,175324.3803210081,401709.616959209,MYS
2100,ssp245,21896.4477058662,0.0,629.9592131886541,248165.6123595624,775730.5612144978,1475340.4995884954,MYS
2050,ssp370,5598.384168330235,0.0,73.19250675331416,56365.82250411257,138960.78310314438,621535.1966209348,MYS
2100,ssp370,18589.68902654676,0.0,29300.498629333528,344446.9092875621,659646.9061235407,915805.420719766,MYS
2050,ssp585,7057.672273167441,0.0,0.0,19006.87125211428,143269.8311999343,906900.5776451216,MYS
2100,ssp585,10750.184886141154,0.0,27303.04598108,227228.60628990663,576966.6830323105,1063801.3322941745,MYS
hist,ERA-5,5.060646444065627,0.0,0.0,0.0,0.0,151.95605214554163,NIC
2050,ssp245,14.875015179323205,0.0,0.0,0.0,0.0,1419.7488207977606,NIC
2100,ssp245,3.42737257904557,0.0,0.0,0.0,0.0,139.79963097468757,NIC
2050,ssp370,21.4494079176646,0.0,0.0,0.0,0.0,238.1345478702606,NIC
2100,ssp370,3.893623452374376,0.0,0.0,0.0,0.0,762.0002532094937,NIC
2050,ssp585,52.08299375433992,0.0,0.0,0.0,45.22385757833141,2295.350417084981,NIC
2100,ssp585,12.737095913486788,0.0,0.0,0.0,6.768206529743516,1115.3433347447929,NIC
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,NER
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,NER
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,NER
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,NER
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,NER
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,NER
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,NER
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,BEL
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,BEL
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,BEL
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,BEL
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,BEL
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,BEL
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,BEL
hist,ERA-5,1.4575165687501042,0.0,0.0,0.0,0.0,0.0,NCL
2050,ssp245,1.4575165687501042,0.0,0.0,0.0,0.0,0.0,NCL
2100,ssp245,1.4575165687501042,0.0,0.0,0.0,0.0,97.60202342136598,NCL
2050,ssp370,1.4575165687501042,0.0,0.0,0.0,0.0,0.0,NCL
2100,ssp370,1.4575165687501042,0.0,0.0,0.0,0.0,0.0,NCL
2050,ssp585,16.93771683166814,0.0,0.0,0.0,0.0,30.9938710629736,NCL
2100,ssp585,1.4575165687501042,0.0,0.0,0.0,0.0,3.3611047213644354,NCL
hist,ERA-5,25.636839247965085,0.0,0.0,0.0,0.0,0.0,LCA
2050,ssp245,25.636839247965085,0.0,0.0,0.0,0.0,0.0,LCA
2100,ssp245,25.636839247965085,0.0,0.0,0.0,0.0,0.0,LCA
2050,ssp370,25.636839247965085,0.0,0.0,0.0,0.0,0.0,LCA
2100,ssp370,25.636839247965085,0.0,0.0,0.0,0.0,0.0,LCA
2050,ssp585,25.636839247965085,0.0,0.0,0.0,0.0,0.0,LCA
