admin0,scenario,year,AAD,PMD_1,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250,PMD_1000
BRA,optimistic,2050.0,34119.752497265,26117.718093170002,44153.39185776,46654.01328069,47865.342811416,49808.522106857,52013.658120577,57087.97791891701
BRA,optimistic,2100.0,73147.740027626,59468.873530016994,70431.17557581,83040.184217845,93181.69678284501,95653.760259545,97716.39786451,103104.44080412501
BRA,pessimistic,2050.0,36980.228369796,28508.442068260003,46814.43839819,49130.338569857005,50688.534914147,52295.748014217,56995.504351617004,60418.72984766
BRA,pessimistic,2100.0,146000.96657173202,121028.561157321,139465.902730153,144620.14973057798,147441.039094832,150093.792637832,156930.082222612,163530.078732902
BRB,current,2020.0,,,,,,,,
BRB,medium,2050.0,,,,,,,,
BRB,medium,2100.0,,,,,,,,
BRB,optimistic,2050.0,,,,,,,,
BRB,optimistic,2100.0,,,,,,,,
BRB,pessimistic,2050.0,,,,,,,,
BRB,pessimistic,2100.0,,,,,,,,
BRN,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTN,current,2020.0,,,,,,,,
BTN,medium,2050.0,,,,,,,,
BTN,medium,2100.0,,,,,,,,
BTN,optimistic,2050.0,,,,,,,,
BTN,optimistic,2100.0,,,,,,,,
BTN,pessimistic,2050.0,,,,,,,,
BTN,pessimistic,2100.0,,,,,,,,
BWA,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,current,2020.0,60752.25771511,49781.25772916,59456.488882747,62426.906230399996,69866.7521672,73719.25214920001,78156.9553404,81119.4544886
CAN,medium,2050.0,69908.3431613,57276.4604237,69373.9945042,72937.13988090001,77010.0289153,81097.89381760001,84269.2515054,88741.1630604
CAN,medium,2100.0,87918.442431765,72123.1635508,86496.7312553,90629.60243001,96987.25575408,101465.85595768,108244.297345,133040.789217
CAN,optimistic,2050.0,69454.4562545,56922.8177782,68659.9330214,72799.6299675,76382.137857,80339.648166,83579.44776740001,88302.9423549
CAN,optimistic,2100.0,79800.317693238,65128.3781663,80672.4068464,85155.0236854,87723.8643412,94380.38564297999,97921.82656028,108529.44270859999
CAN,pessimistic,2050.0,72073.3477791,59366.2950997,69528.1482131,73683.5863507,77939.439386,81496.58777849999,85936.2708832,89394.65507940002
CAN,pessimistic,2100.0,104595.569346777,85427.80962089999,100464.86974028,109652.202999,125791.91609000001,141658.24191044,155136.4450926,182218.1031742
CHE,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
