admin0,AAD,PMD2,PMD5,PMD10,PMD25,PMD50,PMD_100,PMD250,PMD500,PMD1000,scenario,year
HRV,1025.856122,312.1280992,1570.248706,3275.856032,5031.504286,5768.849377,7928.565312,9525.247623,10329.36658,11014.64649,current,2020
HTI,3681.420168,819.4074809,7494.382901,10025.88884,14483.73942,30401.26817,45165.76862,51926.68953,56939.54684,58203.31241,current,2020
HUN,5969.936852,2947.577431,6179.64387,9674.97845,18358.62228,25867.98376,37120.74784,138821.7488,209217.6717,236534.6817,current,2020
IDN,476747.2321,206008.36,414654.2173,539749.2361,631967.8737,674540.2167,710475.6512,737488.5411,754898.9546,778465.9842,current,2020
IND,2384123.17,1260385.75,2330139.89,2828635.45,3772734.45,4214916.78,4683894.69,5333400.61,5694693.31,5809808.2,current,2020
IRL,95.06139083,1.40855885,10.25169851,81.30812412,626.1212555,1086.796962,1547.269245,1830.842042,8386.338091,13496.96635,current,2020
IRN,79557.10453,35215.10255,67334.3223,113950.1031,175618.8619,249860.6506,296345.9396,314943.494,319415.8725,327835.9024,current,2020
IRQ,173849.9234,48036.7296,104204.1277,164837.7916,290402.949,346994.0725,400225.0716,468355.6163,596655.8699,603775.389,current,2020
ISL,1.910495857,0.844120475,2.803024084,4.626157465,8.267220164,11.15681061,26.29436956,31.29973513,45.75527436,62.39199315,current,2020
ISR,16.3481406,0.85839867,1.057851551,1.465280939,3.633207639,59.17068998,146.0930652,1882.103528,2733.868652,2933.699541,current,2020
ITA,1135.353715,155.1022543,1224.115516,3786.812859,7678.903557,9497.094239,10858.89291,13430.09191,14762.76234,16590.84766,current,2020
JAM,136.3431522,0,0,272.6660728,1154.115568,1654.64388,2530.633639,5813.59443,6702.648054,7494.18468,current,2020
JOR,24.97839423,13.22835939,25.5163912,32.02310671,99.53217634,134.3943002,244.1894107,377.4799778,382.7586215,383.3292498,current,2020
JPN,1763.976544,160.7956032,1582.623135,3323.439052,7655.37942,14821.5708,32418.91846,53529.18176,60695.39527,98394.62492,current,2020
KAZ,8824.22,5051.28,7774.06,12083.32,16687.14,18120,19167.55,20370.48,23172.88,24842.95,current,2020
KEN,37672.07842,23591.01281,34781.91038,48598.62494,63148.2867,73021.94597,79010.91909,82802.21037,84328.94534,87043.49694,current,2020
KGZ,651.4044703,330.1057569,669.5998903,1087.147547,1147.97987,1172.145356,1197.886889,1322.11709,1332.877157,1345.185891,current,2020
KHM,476800.8233,288760.6251,512432.8639,653625.6777,873628.7722,1079819.554,1243475.474,1373375.632,1415209.142,1500565.63,current,2020
KOR,5634.111907,413.7200556,1898.553449,6323.122499,19004.78691,27137.45747,60220.87855,375610.2676,542425.433,737203.5533,current,2020
KWT,28.30715171,1.242199894,2.301602881,3.141695045,50.58358073,967.3026314,969.2624515,969.4159178,969.6042343,969.6612637,current,2020
LAO,188867.8456,126193.8959,229702.5642,305741.9573,354447.3035,377275.2913,403053.9371,436856.9039,481489.8659,501695.4006,current,2020
LBN,22.82419609,0,0,0,3.835016131,174.7844434,747.6355999,2064.274243,2486.530118,3264.940108,current,2020
LBR,34420.11653,15437.31866,22150.8425,28168.3312,40004.0446,87819.3809,108142.5713,115162.7309,122264.4175,123707.9175,current,2020
LBY,817.2856021,422.0915731,1510.308909,2017.286944,2556.690005,2893.163026,3149.976258,3664.530986,3882.064604,4147.306039,current,2020
LIE,2.652821505,0,0,0,0,17.04165238,88.35645495,249.6775213,353.5951563,414.1292268,current,2020
LKA,7324.372854,1611.154111,4831.143008,19906.808,49316.85085,73135.37323,87597.93206,120536.4889,163854.8577,248753.1298,current,2020
LSO,816.0432618,412.5321847,874.2561567,1162.475275,1621.064373,1980.39856,2122.197609,2403.640749,3101.551656,3356.163692,current,2020
LTU,259.5783857,115.4013957,351.2455179,687.629566,1016.097263,1521.298371,1818.559606,2518.726625,2665.018707,2766.676083,current,2020
