admin0,scenario,year,AAD,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250
CHL,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
CHL,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
CHL,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CHL,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CHL,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CHL,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CHN,current,2020.0,7300.799813209762,0.0,0.0,0.0,1552.0792335211793,384320.6513731277
CHN,medium,2050,48705.6341266471,0.0,104736.68117437312,718330.955891877,1243008.6203191455,1611218.0720213028
CHN,medium,2100,76023.89882440858,0.0,474586.83439165296,1171208.0107940217,2133526.968315709,4313947.154589849
CHN,optimistic,2050,19879.962636821983,0.0,7626.630265186139,20452.60704064074,1697982.6258444632,3917308.138498666
CHN,optimistic,2100,42384.96892854049,0.0,178306.48449202228,607724.6542907979,1032234.3198429904,2369776.180313213
CHN,pessimistic,2050,52772.31015870012,0.0,69589.05493433864,411166.4842469235,1287398.8753239138,2583150.235712456
CHN,pessimistic,2100,98465.57489772122,32651.375892612752,539985.1332685541,1384781.7089585578,2575317.976908195,5598244.264177948
CIV,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
CIV,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
CIV,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CIV,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CIV,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CIV,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CMR,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
CMR,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
CMR,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CMR,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CMR,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CMR,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
COD,current,2020,,,,,,
COD,medium,2050,,,,,,
COD,medium,2100,,,,,,
COD,optimistic,2050,,,,,,
COD,optimistic,2100,,,,,,
COD,pessimistic,2050,,,,,,
COD,pessimistic,2100,,,,,,
COG,current,2020,,,,,,
COG,medium,2050,,,,,,
COG,medium,2100,,,,,,
COG,optimistic,2050,,,,,,
COG,optimistic,2100,,,,,,
COG,pessimistic,2050,,,,,,
COG,pessimistic,2100,,,,,,
COK,current,2020,,,,,,
COK,medium,2050,,,,,,
COK,medium,2100,,,,,,
COK,optimistic,2050,,,,,,
COK,optimistic,2100,,,,,,
COK,pessimistic,2050,,,,,,
COK,pessimistic,2100,,,,,,
COL,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
COL,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
COL,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
COL,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
COL,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
COL,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
COM,current,2020,,,,,,
COM,medium,2050,,,,,,
COM,medium,2100,,,,,,
COM,optimistic,2050,,,,,,
COM,optimistic,2100,,,,,,
COM,pessimistic,2050,,,,,,
COM,pessimistic,2100,,,,,,
CPV,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
CPV,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
