time_horizon,scenario,GID_1,AAD_low,RP_10_low,RP_25_low,RP_50_low,RP_100_low,RP_250_low,AAD_medium,RP_10_medium,RP_25_medium,RP_50_medium,RP_100_medium,RP_250_medium,AAD_high,RP_10_high,RP_25_high,RP_50_high,RP_100_high,RP_250_high
hist,current,USA.21_1,28.68364683,0,0,0,0,0,2.060332896,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.21_1,592.2394198,0,0,686.8082078,10393.12465,55443.50784,148.752353,0,0,0,5.103054342,17183.16583,62.83183684,0,0,0,0,7796.703254
2100,optimistic,USA.21_1,549.9405348,0,0,0,9166.945026,24399.96146,78.66460945,0,0,0,0,7664.695972,52.62269474,0,0,0,0,42.43464157
hist,current,USA.22_1,141.6126202,0,0,0,0,1.492086154,1.872880895,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.22_1,1439.133434,0,0,2587.868995,18347.56787,128581.6759,573.4902661,0,0,0,3755.887875,31988.68151,166.7275779,0,0,0,0,7512.133187
2100,optimistic,USA.22_1,2523.001408,0,604.8764733,23618.94257,82318.80989,224549.6916,1286.272054,0,0,260.0593667,7958.648717,196460.6715,596.4504638,0,0,0,743.4910917,75511.31419
hist,current,USA.23_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.23_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.23_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.24_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.24_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.24_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.25_1,580.4312158,0,0,8038.963076,20509.02697,41338.54492,262.2868136,0,0,542.7337016,5363.932195,28398.49744,123.6758436,0,0,0,488.6613675,17931.89569
2050,optimistic,USA.25_1,3739.362832,8125.609709,16181.36421,29824.94797,52580.60161,152502.1521,1665.871688,967.1683585,17388.00546,13182.60585,26697.93924,60210.78678,1002.331211,0,5044.387805,13144.84212,14518.38941,35902.55617
2100,optimistic,USA.25_1,4774.376102,13235.27075,14923.05027,23479.87446,48873.29537,131693.4739,1974.500385,2802.24422,20154.90706,9166.786346,17849.13312,59673.78868,1199.049981,0,11137.2976,12260.04253,10186.85647,27080.07926
hist,current,USA.26_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.26_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.26_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.27_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.27_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.27_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.28_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.28_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.28_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.29_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.29_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.29_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.30_1,6.602268233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.30_1,8.071759076,0,0,0,0,134.0249531,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.30_1,115.1516201,0,0,0,0,7585.436544,37.45184023,0,0,0,0,547.2240379,25.47333599,0,0,0,0,0
hist,current,USA.31_1,502.3224264,0,0,0,0,0,85.1395332,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.31_1,1947.665648,0,0,57.06776638,38510.53052,19368.74324,517.4531822,0,0,0,0,50854.84526,42.84395153,0,0,0,0,436.3713547
2100,optimistic,USA.31_1,1177.125119,0,0,0,12074.74123,92004.78069,174.9982117,0,0,0,0,14970.31573,0,0,0,0,0,0
hist,current,USA.32_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.32_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.32_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.33_1,1397.285368,0,0,0,0,0,205.4067569,0,0,0,0,0,5.038440826,0,0,0,0,0
2050,optimistic,USA.33_1,1997.348079,0,0,244.8219685,23493.17407,80845.53489,1626.154517,0,0,0,201.6322752,49461.54829,258.6862111,0,0,0,0,14757.27653
2100,optimistic,USA.33_1,1670.362103,0,0,209.810344,6891.908079,178157.4211,738.4420886,0,0,0,152.4201829,7046.634923,129.697021,0,0,0,0,1518.340511
hist,current,USA.34_1,715.8327495,0,0,1714.868251,20947.93701,48452.66158,100.5103304,0,0,0,220.6989944,9425.104425,27.51522243,0,0,0,0,478.6209892
2050,optimistic,USA.34_1,2909.472483,3632.14409,29050.09104,33398.75739,90655.64324,128242.7078,1289.836818,0,8613.883694,22917.7055,38633.23176,54260.00065,629.9673376,0,1297.747952,6939.403393,24025.96787,46293.62341
2100,optimistic,USA.34_1,4862.442561,235.7883233,18689.53175,57849.73124,109035.1096,162730.5339,1968.28505,0,2750.008686,36560.44465,56565.3987,89595.6995,1181.182256,0,163.4074007,16918.28537,39414.79162,70435.43371
hist,current,USA.35_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.35_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.35_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.36_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.36_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.36_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.37_1,0.308580702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.37_1,0.308580702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.37_1,0.602259086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.38_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.38_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.38_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.39_1,3.233245459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.39_1,529.1194238,0,0,0,0,93526.01564,86.97756185,0,0,0,0,8244.319516,6.119190663,0,0,0,0,75.88079201
2100,optimistic,USA.39_1,540.881037,0,0,0,0,38939.69581,6.454009199,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.40_1,9.11441851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.40_1,246.3592834,0,0,0,7455.037171,24490.26924,122.5342743,0,0,0,0,8169.586213,0,0,0,0,0,27.95604768
2100,optimistic,USA.40_1,486.23286,0,0,848.4056842,9269.083639,54996.08377,279.8880346,0,0,0,0,42705.34098,210.739577,0,0,0,0,14824.57225
hist,current,USA.41_1,639.5183273,0,0,3641.764765,19107.24275,51264.31891,207.8064342,0,0,0,1402.044696,20520.87129,59.60463307,0,0,0,0,4799.274659
2050,optimistic,USA.41_1,5517.761185,0,5899.157482,32444.24601,66593.08728,169545.4443,1751.380056,0,0,7283.559205,29399.9548,90051.80931,582.7470673,0,0,0,25056.84859,58725.33769
2100,optimistic,USA.41_1,5678.604797,0,43112.11165,55020.24269,102518.4459,227172.4873,2563.330149,0,9626.615017,39898.49224,40254.15146,110762.8773,1638.258456,0,862.3359621,37359.66797,26221.69467,62359.01891
hist,current,USA.42_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.42_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.42_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.43_1,8.796795294,0,0,0,0,0,0.08978676,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.43_1,8.796795294,0,0,0,0,0,0.08978676,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.43_1,9.058769406,0,0,0,0,0,0.08978676,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.44_1,20381.16169,13198.19689,137099.7305,293245.8306,489079.5159,672705.5778,9096.621629,18.45076168,36513.85302,117676.4915,268328.043,583520.8482,5478.60968,0,7777.333229,59921.53726,190595.6172,454480.1659
2050,optimistic,USA.44_1,66283.8396,97235.39515,421163.6681,529489.0771,869557.7185,3425804.97,34685.98522,27238.69201,204920.9681,373835.9662,545779.9287,900037.1275,17883.57305,19926.12337,132320.1242,275653.1266,530021.0912,580946.8432
2100,optimistic,USA.44_1,88378.17829,160504.0525,436989.5778,508933.4557,1224472.698,3178690.954,36275.99248,74705.00467,263172.1452,357666.8835,394489.5729,843219.5761,21279.44767,32102.11448,159389.1266,284825.3056,384281.1788,606972.879
hist,current,USA.45_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.45_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.45_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.46_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.46_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.46_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.47_1,273.8456483,0,0,0,0,782.264403,125.8789524,0,0,0,0,0,3.452958554,0,0,0,0,0
2050,optimistic,USA.47_1,1256.918077,0,0,1144.397978,45673.84484,96119.25575,701.5430371,0,0,0,2633.639797,37866.99113,175.0604526,0,0,0,0.31544656,746.8555754
2100,optimistic,USA.47_1,1858.348593,0,0,424.5236056,81170.70653,109347.6498,536.7484928,0,0,312.8591762,4198.843028,78926.20755,170.6950864,0,0,0,794.0119202,9225.346876
hist,current,USA.48_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.48_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.48_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.49_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.49_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.49_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.50_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
