,building_type,v_half_median,v_thresh_median,v_half_max,v_thresh_max,v_half_min,v_thresh_min
39,S2,88.55,59.03333333333333,116.725,76.475,79.15833333333335,52.325
40,A2,83.18333333333332,55.00833333333333,91.23333333333333,60.375,73.79166666666666,48.3
41,C3M,92.57499999999999,61.71666666666667,92.57499999999999,61.71666666666667,92.57499999999999,61.71666666666667
42,CH,92.57499999999999,61.71666666666667,92.57499999999999,61.71666666666667,92.57499999999999,61.71666666666667
43,CL,92.57499999999999,61.71666666666667,92.57499999999999,61.71666666666667,92.57499999999999,61.71666666666667
44,CM,79.15833333333335,52.325,79.15833333333335,52.325,79.15833333333335,52.325
45,DS,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
46,DS2,73.79166666666666,48.3,73.79166666666666,48.3,73.79166666666666,48.3
47,MS,73.79166666666666,48.3,73.79166666666666,48.3,73.79166666666666,48.3
48,RM1,80.5,53.666666666666664,80.5,53.666666666666664,80.5,53.666666666666664
49,RS,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
50,RS1,78.48749999999998,51.65416666666666,91.23333333333333,60.375,64.4,42.93333333333333
51,RS2,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
52,UFB1,78.48749999999998,51.65416666666666,83.18333333333332,55.00833333333333,73.79166666666666,48.3
53,UFB2,78.48749999999998,51.65416666666666,83.18333333333332,55.00833333333333,73.79166666666666,48.3
54,UFB4,78.48749999999998,51.65416666666666,83.18333333333332,55.00833333333333,73.79166666666666,48.3
55,UNK,73.79166666666666,48.3,73.79166666666666,48.3,73.79166666666666,48.3
56,PC,92.57499999999999,61.71666666666667,104.65,69.76666666666667,81.84166666666667,53.666666666666664
57,A4,78.48749999999998,51.65416666666666,83.18333333333332,55.00833333333333,73.79166666666666,48.3
58,M,68.425,45.61666666666667,77.81666666666666,50.98333333333333,60.375,40.25
59,PC2,98.6125,65.74166666666667,104.65,69.76666666666667,92.57499999999999,61.71666666666667
60,W4,75.13333333333334,49.641666666666666,79.15833333333335,52.325,71.10833333333333,46.958333333333336
61,A1,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
62,C4,79.15833333333335,52.325,79.15833333333335,52.325,79.15833333333335,52.325
63,M2,64.4,42.93333333333333,68.425,45.61666666666667,60.375,40.25
64,RS3,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
65,DS4,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
66,RS4,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
67,DS1,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
68,RM2H,75.80416666666666,50.3125,80.5,53.666666666666664,71.10833333333333,46.958333333333336
69,RS5,69.09583333333333,45.61666666666667,73.79166666666666,48.3,64.4,42.93333333333333
70,RE,64.4,42.93333333333333,68.425,45.61666666666667,60.375,40.25
71,A3,69.09583333333333,45.61666666666667,73.79166666666666,48.3,64.4,42.93333333333333
